,TC,IMPORTE,TOTAL MX,TOTAL SAT
0,1.0,0.0,2248.28,16300.0
1,1.0,490.0,568.4,568.4
2,1.0,195.0,226.2,226.2
3,1.0,10694.25,12405.33,12405.33
4,1.0,0.0,0.0,0.0
5,1.0,0.0,0.0,0.0
6,1.0,2398.0,2723.5,3027.0
7,1.0,8620.69,10000.0,10000.0
8,1.0,0.01,0.01,0.0
9,1.0,0.0,0.0,0.0
10,1.0,4371.72,5071.2,5071.2
11,1.0,159.48,185.0,185.0
12,1.0,480.0,556.8,556.8
13,1.0,2500.0,2900.0,2900.0
14,1.0,88.44,102.59,102.59
15,1.0,5344.76,6199.92,6199.92
16,1.0,5152.17,5976.52,5976.52
17,1.0,0.0,0.0,1771.95
18,1.0,0.0,0.0,538.0
19,1.0,0.0,0.0,660.4
20,1.0,674.62,798.99,798.99
21,1.0,752.43,899.0,899.0
22,1.0,674.62,798.99,798.99
23,1.0,674.62,798.99,798.99
24,1.0,2750.0,3146.0,2871.0
25,1.0,256.0,296.96,296.96
26,1.0,282.0,327.12,327.12
27,1.0,11913.67,12390.22,12390.22
28,1.0,500.0,580.0,580.0
29,1.0,0.0,0.0,0.0
30,1.0,0.0,0.0,0.0
31,1.0,4200.0,4872.0,4872.0
32,1.0,0.0,0.0,0.0
33,1.0,0.0,0.0,0.0
34,1.0,0.01,0.01,0.0
35,1.0,105.0,105.0,105.0
36,1.0,350.0,406.0,406.0
37,1.0,177.78,206.22,206.22
38,1.0,51.7,59.97,59.97
39,1.0,3900.0,4461.6,4071.6
40,1.0,600.0,696.0,696.0
41,1.0,516.6,599.26,599.26
42,1.0,8260.0,9581.6,9581.6
43,1.0,149.22,173.1,173.1
44,1.0,198.0,236.57,236.57
45,1.0,1400.0,1624.0,1624.0
46,1.0,3025.75,3509.87,3509.87
47,1.0,9614.0,11152.24,11152.24
48,1.0,360.0,417.6,417.6
49,1.0,1139.12,1321.38,1321.38
50,1.0,1124.95,1300.39,1300.39
51,1.0,9900.0,11484.0,11484.0
52,1.0,2000.0,2320.0,2320.0
53,1.0,1687.0,1956.92,1956.92
54,1.0,8620.69,10000.0,10000.0
55,1.0,0.0,0.0,0.0
56,1.0,202.2,234.55,234.55
57,1.0,85.34,99.0,99.0
58,1.0,96.83,112.33,112.33
59,1.0,0.0,0.0,0.0
60,1.0,0.0,0.0,0.0
61,1.0,2398.0,2723.5,3027.0
62,1.0,4286.71,4972.58,4972.58
63,1.0,2050.95,2379.11,2379.11
64,1.0,1876.0,2176.16,2176.16
65,1.0,1876.0,2176.16,2176.16
66,1.0,900.0,1044.0,1044.0
67,1.0,0.0,0.0,0.0
68,1.0,105.0,105.0,105.0
69,1.0,351.0,407.16,407.16
70,1.0,12250.0,14210.0,14210.0
71,1.0,837.95,972.02,972.02
72,1.0,313.26,363.38,363.38
73,1.0,2775.0,3219.0,3219.0
74,1.0,855.0,991.8,991.8
75,1.0,326.25,378.45,378.45
76,1.0,1955.0,2267.8,2267.8
77,1.0,720.74,833.13,833.13
78,1.0,0.0,0.0,1069.5
79,1.0,0.0,0.0,0.0
80,1.0,950.0,1086.8,991.8
81,1.0,0.0,0.0,0.0
82,1.0,2524.0,2927.84,2927.84
83,1.0,85.78,99.5,99.5
84,1.0,0.0,0.0,0.0
85,1.0,9576.0,11108.16,11108.16
86,1.0,2779.5,3224.22,3224.22
87,1.0,0.0,0.0,0.0
88,1.0,0.0,0.0,0.0
89,1.0,0.0,0.0,0.0
90,1.0,0.0,0.0,0.0
91,1.0,106.05,123.02,123.02
92,1.0,3600.0,4176.0,4176.0
93,1.0,4000.0,4640.0,4640.0
94,1.0,1050.0,1218.0,1218.0
95,1.0,153.6,178.18,178.18
96,1.0,0.0,0.0,0.0
97,1.0,95.12,107.31,107.31
98,1.0,303.0,351.48,351.48
99,1.0,0.0,0.0,979.75
100,1.0,0.0,0.0,358.0
101,1.0,0.0,0.0,3789.05
102,1.0,0.0,0.0,-669.0
103,1.0,3001.65,3446.33,3446.33
104,1.0,8300.0,8348.0,8348.0
105,1.0,2398.0,2723.5,3027.0
106,1.0,0.0,0.0,236.5
107,1.0,83.84,97.26,97.26
108,1.0,450.0,522.0,522.0
109,1.0,266.4,309.02,309.02
110,1.0,2572.5,2984.1,2984.1
111,1.0,813.31,943.44,943.44
112,1.0,73.09,84.79,84.79
113,1.0,0.0,0.0,0.0
114,1.0,495.0,574.2,574.2
115,1.0,-600.0,-696.0,-696.0
116,1.0,0.0,0.0,0.0
117,1.0,1390.0,1390.0,1390.0
118,1.0,2398.0,2723.5,3027.0
119,1.0,21551.72,25000.0,25000.0
120,1.0,2300.0,2668.0,2668.0
121,1.0,228.23,264.75,264.75
122,1.0,0.0,0.0,0.0
123,1.0,2398.0,2723.5,3027.0
124,1.0,10900.0,12208.0,12208.0
125,1.0,0.0,0.0,0.0
126,1.0,0.0,0.0,0.0
127,1.0,289.76,336.12,336.12
128,1.0,1764.0,2046.24,2046.24
129,1.0,5329.32,6182.01,6182.01
130,1.0,336.9,398.99,398.99
131,1.0,267.23,319.29,319.29
132,1.0,140.0,140.0,140.0
133,1.0,0.0,0.0,0.0
134,1.0,0.0,0.0,0.0
135,1.0,0.0,0.0,0.0
136,1.0,8650.0,9895.6,9030.6
137,1.0,2398.0,2723.5,3027.0
138,1.0,1204.17,1396.84,1396.84
139,1.0,250.0,250.0,250.0
140,1.0,0.0,0.0,0.0
141,1.0,1124.82,1300.23,1300.23
142,1.0,778.61,900.03,900.03
143,1.0,1223.2,1418.91,1418.91
144,1.0,10300.0,10348.0,10348.0
145,1.0,1320.0,1531.2,1531.2
146,1.0,0.0,0.0,0.0
147,1.0,7500.0,8700.0,8700.0
148,1.0,3100.0,3596.0,3596.0
149,1.0,0.0,0.0,0.0
150,1.0,0.0,0.0,0.0
151,1.0,0.0,0.0,0.0
152,1.0,0.0,0.0,0.0
153,1.0,0.0,0.0,0.0
154,1.0,314.66,365.0,365.0
155,1.0,0.0,0.0,0.0
156,1.0,344.84,400.0,400.0
157,1.0,730.28,847.12,876.33
158,1.0,12143.76,12143.76,12143.76
159,1.0,0.0,0.0,0.0
160,1.0,0.0,0.0,0.0
161,1.0,0.0,0.0,539.0
162,1.0,144.83,168.0,168.0
163,1.0,519.11,600.0,600.0
164,1.0,432.6,500.0,500.0
165,1.0,86.56,100.0,100.0
166,1.0,86.56,100.0,100.0
167,1.0,239.4,277.7,277.7
168,1.0,3268.0,3790.88,3790.88
169,1.0,3648.0,4231.68,4231.68
170,1.0,2624.56,3044.49,3044.49
171,1.0,16226.23,16226.23,16226.23
172,1.0,1855.0,2151.8,2151.8
173,1.0,6160.0,7145.6,7145.6
174,1.0,2550.0,2958.0,2958.0
175,1.0,160.0,185.6,185.6
176,1.0,684.0,793.44,793.44
177,1.0,684.0,793.44,793.44
178,1.0,7619.7,8838.85,8838.85
179,1.0,2398.0,2723.5,3027.0
180,1.0,97.27,112.83,112.83
181,1.0,27.74,32.18,32.18
182,1.0,1960.12,2273.74,2273.74
183,1.0,0.0,0.0,0.0
184,1.0,0.0,0.0,0.0
185,1.0,1947.0,2258.52,2258.52
186,1.0,2398.0,2723.5,3027.0
187,1.0,6286.5,7292.34,7292.34
188,1.0,24766.45,2723.5,28729.08
189,1.0,1474.5,1710.42,1710.42
190,1.0,1722.08,1997.61,1997.61
191,1.0,5747.71,6667.34,6667.34
192,1.0,18971.84,22007.33,22007.33
193,1.0,4900.0,5684.0,5684.0
194,1.0,2041.09,2335.63,2335.63
195,1.0,75.85,87.99,87.99
196,1.0,0.0,0.0,0.0
197,1.0,0.0,0.0,0.0
198,1.0,0.0,0.0,0.0
199,1.0,0.0,0.0,0.0
200,1.0,15385.6,17847.3,17847.3
201,1.0,456.0,528.96,528.96
202,1.0,0.0,0.0,2688.67
203,1.0,0.0,0.0,0.0
204,1.0,18965.52,22000.0,22000.0
205,1.0,9482.76,11000.0,11000.0
206,1.0,140.0,140.0,140.0
207,1.0,843.0,843.0,843.0
208,1.0,269.0,269.0,269.0
209,1.0,46.7,54.17,54.17
210,1.0,3416.04,3962.61,3962.61
211,1.0,173.02,200.0,200.0
212,1.0,161.0,186.76,186.76
213,1.0,5157.0,5982.12,5982.12
214,1.0,125.0,125.0,0.0
215,1.0,2250.0,2610.0,2610.0
216,1.0,0.0,0.0,0.0
217,1.0,336.9,398.99,398.99
218,1.0,125.0,125.0,0.0
219,1.0,0.0,0.0,2583.75
220,1.0,1331.1,1544.08,1597.32
221,1.0,906.52,1067.99,1067.99
222,1.0,1932.69,2289.01,2289.01
223,1.0,375.0,435.0,435.0
224,1.0,2398.0,2723.5,3027.0
225,1.0,0.0,0.0,0.0
226,1.0,0.0,0.0,0.0
227,1.0,86.12,99.9,99.9
228,1.0,0.0,0.0,0.0
229,1.0,632.6,733.82,733.82
230,1.0,2268.0,2630.88,2630.88
231,1.0,0.0,0.0,115.0
232,1.0,1020.0,1183.2,1183.2
233,1.0,794.17,794.17,794.17
234,1.0,1117.38,1117.38,1117.38
235,1.0,2084.0,2084.0,2084.0
236,1.0,0.0,0.0,0.0
237,1.0,855.0,991.8,991.8
238,1.0,459.18,532.64,532.64
239,1.0,3100.0,3596.0,3596.0
240,1.0,18.97,22.0,22.0
241,1.0,18.97,22.0,22.0
242,1.0,143.06,165.95,165.95
243,1.0,263.22,305.34,305.34
244,1.0,0.0,0.0,0.0
245,1.0,3060.0,3549.6,3549.6
246,1.0,0.0,0.0,857.3
247,1.0,279.32,324.0,324.0
248,1.0,0.0,0.0,0.0
249,1.0,960.0,1113.6,1113.6
250,1.0,45.43,52.7,52.7
251,1.0,1300.0,1508.0,1508.0
252,1.0,25.0,29.0,29.0
253,1.0,86.51,100.0,100.0
254,1.0,0.0,0.0,0.0
255,1.0,426.0,494.16,494.16
256,1.0,847.82,980.05,980.05
257,1.0,83.2,96.51,96.51
258,1.0,2039.2,2365.47,2365.47
259,1.0,1294.0,1501.04,1501.04
260,1.0,0.0,0.0,0.0
261,1.0,15000.0,17400.0,17400.0
262,1.0,105.0,105.0,105.0
263,1.0,1745.1,2024.32,2024.32
264,1.0,2326.8,2699.09,2699.09
265,1.0,172.41,200.0,200.0
266,1.0,3485.37,3981.45,3981.45
267,1.0,3428.69,3950.85,3950.85
268,1.0,167.24,194.0,194.0
269,1.0,1792.62,2057.54,2057.54
270,1.0,0.0,0.0,0.0
271,1.0,0.0,0.0,0.0
272,1.0,0.0,0.0,0.0
273,1.0,0.0,0.0,0.0
274,1.0,0.0,0.0,0.0
275,1.0,108.51,125.87,125.87
276,1.0,1600.0,1856.0,1856.0
277,1.0,4129.65,4151.99,4151.99
278,1.0,476.14,542.2,478.99
279,1.0,0.0,0.0,0.0
280,1.0,1676.25,1944.45,1944.45
281,1.0,698.5,810.26,810.26
282,1.0,0.0,0.0,0.0
283,1.0,883.2,1024.51,1024.51
284,1.0,243.4,282.34,282.34
285,1.0,1010.0,1139.28,937.28
286,1.0,440.88,511.42,511.42
287,1.0,1100.0,1276.0,1276.0
288,1.0,5970.12,6925.34,6925.34
289,1.0,0.0,0.0,1953.95
290,1.0,17164.63,19910.97,19910.97
291,1.0,862.07,1000.0,1000.0
292,1.0,0.0,0.0,0.0
293,1.0,105.0,121.8,121.8
294,1.0,0.0,0.0,0.0
295,1.0,5000.0,5800.0,5800.0
296,1.0,2095.13,2402.07,2402.07
297,1.0,153.68,178.27,178.27
298,1.0,7625.8,8685.79,7684.94
299,1.0,15339.42,17793.73,17793.73
300,1.0,28.4,32.94,32.94
301,1.0,0.0,0.0,0.0
302,1.0,0.0,0.0,0.0
303,1.0,1070.0,1241.2,1241.2
304,1.0,10300.0,10348.0,10348.0
305,1.0,0.0,0.0,3027.0
306,1.0,0.0,0.0,0.0
307,1.0,0.0,0.0,0.0
308,1.0,519.11,600.0,600.0
309,1.0,0.0,0.0,0.0
310,1.0,37.87,43.93,43.93
311,1.0,2457.0,2850.12,2850.12
312,1.0,865.21,1000.17,1000.17
313,1.0,207.0,240.12,240.12
314,1.0,112.5,130.5,130.5
315,1.0,0.0,0.0,0.0
316,1.0,0.0,0.0,0.0
317,1.0,0.01,0.01,0.0
318,1.0,105.0,105.0,105.0
319,1.0,2398.0,25461.67,25461.67
320,1.0,490.0,568.4,568.4
321,1.0,195.0,226.2,226.2
322,1.0,1011.41,1169.15,1169.15
323,1.0,24246.3,28125.71,28125.71
324,1.0,-1343.72,-1558.71,-1558.71
325,1.0,-214.99,-249.39,-249.39
326,1.0,5344.76,6199.92,6199.92
327,1.0,5152.17,5976.52,5976.52
328,1.0,3670.47,4257.75,4257.75
329,1.0,2932.5,3401.7,3401.7
330,1.0,131.89,152.99,152.99
331,1.0,4226.15,4902.33,4902.33
332,1.0,0.0,0.0,0.0
333,1.0,0.0,0.0,0.0
334,1.0,0.0,0.0,0.0
335,1.0,0.0,0.0,0.0
336,1.0,0.0,0.0,0.0
337,1.0,0.0,0.0,0.0
338,1.0,3401.94,3946.25,3946.25
339,1.0,744.89,860.96,860.96
340,1.0,2569.85,2981.03,2981.03
341,1.0,682.81,792.06,792.06
342,1.0,4200.0,4872.0,4872.0
343,1.0,2060.15,2389.77,2389.77
